"AID","Step","Activity","Resp","StartMonth","EndMonth","Status","Note"
"2-01","ขั้นที่ 2","2.1 วิเคราะห์สาเหตุและผลกระทบ และประเมินความเสี่ยงจากการไม่สามารถปฏิบัติตามกฎ ระเบียบ โดยนำข้อมูลจาก","ฝบส. / หน่วยงานที่เกี่ยวข้อง",,,"ยังไม่เริ่ม",
"2-02","ขั้นที่ 2","2.1.1 ผลการตรวจสอบและผลการสอบทานการปฏิบัติตามกฎ ระเบียบ ของ ฝตส.",,,,"ยังไม่เริ่ม",
"2-03","ขั้นที่ 2","2.1.2 ผลการประเมินความเสี่ยงด้านกฎหมาย ระเบียบ ข้อบังคับที่เกี่ยวข้องกับการดำเนินงาน (Compliance Risks)",,,,"ยังไม่เริ่ม",
"2-04","ขั้นที่ 2","2.1.3 เหตุการณ์ที่การดำเนินงานองค์กรไม่สอดคล้องหรือไม่เป็นไปตามกฎหมาย กฎ ระเบียบ (Compliance Issues)",,,,"ยังไม่เริ่ม",
"2-05","ขั้นที่ 2","2.2 สรุปรายการ Compliance Risk ที่สำคัญที่ต้องกำหนด/ปรับปรุงการควบคุม","ฝบส.",,,"ยังไม่เริ่ม",
"2-06","ขั้นที่ 2","2.3 จัดวาง/ทบทวนระบบการควบคุมภายในของกระบวนงานพื้นฐานและกระบวนงานตามภารกิจของทุกหน่วยงาน","ฝบส. / หน่วยงานที่เกี่ยวข้อง",,,"ยังไม่เริ่ม",
"3-01","ขั้นที่ 3","3.1 สื่อสาร อบรม เพื่อสร้างความรู้ความเข้าใจและความตระหนักเกี่ยวกับนโยบาย กรอบและแนวทางการปฏิบัติตามกฎ ระเบียบ","ฝบส. / ฝสอ.",,,"ยังไม่เริ่ม",
"3-02","ขั้นที่ 3","3.2 สื่อสาร อบรม เกี่ยวกับกฎหมาย กฎ ระเบียบที่เกี่ยวข้องที่ปรับปรุงหรือเป็นเรื่องใหม่","ฝบส. / ฝสอ.",,,"ยังไม่เริ่ม",
"3-03","ขั้นที่ 3","3.3 ประสานงาน ให้คำปรึกษาแนะนำหน่วยงาน เพื่อทบทวนการดำเนินงานให้สอดคล้องกับกฎหมาย กฎ ระเบียบที่เกี่ยวข้องที่ปรับปรุงหรือเป็นเรื่องใหม่","ฝบส. / ฝกม.",,,"ยังไม่เริ่ม",
"3-04","ขั้นที่ 3","3.3 ประสานงานและบูรณาการการกำกับดูแลการปฏิบัติตามกฎ ระเบียบ",,,,"ยังไม่เริ่ม",
"3-05","ขั้นที่ 3","3.3.1 ประสานงาน และกำหนดแนวทางบูรณาการเพื่อกำกับติดตามประเด็นการไม่ปฏิบัติตามกฎ ระเบียบ ที่สำคัญ","ฝกม. / ฝบส.",,,"ยังไม่เริ่ม",
"3-06","ขั้นที่ 3","3.3.2 พัฒนาเทคโนโลยีสารสนเทศเพื่อสนับสนุนและปรับปรุงกระบวนการ","ฝบส. / ฝวท.",,,"ยังไม่เริ่ม",
"4-01","ขั้นที่ 4","4.1 สอบทานการปฏิบัติตามกฎระเบียบด้วยตนเองในทุกกระบวนงานที่ได้จัดวางระบบการควบคุมภายในไว้","ทุกหน่วยงาน",,,"ยังไม่เริ่ม",
"4-02","ขั้นที่ 4","4.2 สอบทานการปฏิบัติตามกฎระเบียบในกระบวนการปฏิบัติงานที่มีความเสี่ยงที่อาจทำให้ไม่สามารถปฏิบัติตามกฎ ระเบียบ และสรุปรายงานผลการสอบทานฯ","ฝบส. / หน่วยงานที่เกี่ยวข้อง",,,"ยังไม่เริ่ม",
"4-03","ขั้นที่ 4","4.3 ประเมินการปฏิบัติตามกฎระเบียบด้วยตนเอง (Compliance Self-Assessment)","ทุกสายงาน / ทุกหน่วยงาน",,,"ยังไม่เริ่ม",
"4-04","ขั้นที่ 4","4.3.1 ผู้ปฏิบัติงาน - สอบทานและประเมินการปฏิบัติตามระบบการควบคุมภายในด้วยตนเองในทุกกระบวนงานที่ได้จัดวางระบบการควบคุมภายในไว้","ทุกหน่วยงาน",,,"ยังไม่เริ่ม",
"4-05","ขั้นที่ 4","4.3.2 ผู้บริหาร - ประเมินการปฏิบัติตามกฎระเบียบด้วยตนเองตามแบบประเมินที่ ฝบส. กำหนด","ผู้บริหารระดับสูงและหัวหน้าหน่วยงาน",,,"ยังไม่เริ่ม",
"4-06","ขั้นที่ 4","4.4 นำผลประเมินมาปรับปรุงการปฏิบัติงานเพื่อให้เป็นไปตามกฎหมาย กฎ ระเบียบ","ฝบส. / หน่วยงานที่เกี่ยวข้อง",,,"ยังไม่เริ่ม",
"5-01","ขั้นที่ 5","5.1 ทบทวน/ปรับปรุงนโยบาย กรอบแนวทางการกำกับดูแล และแนวทางการปฏิบัติตามกฎ ระเบียบ ของ กฟน.  (Compliance Policy, Framework and Guidance) รวมทั้งแผนการกำกับดูแลการปฏิบัติตามกฎ ระเบียบ เสนอต่อคณะกรรมการที่เกี่ยวข้อง","ฝบส.",,,"ยังไม่เริ่ม",
"5-02","ขั้นที่ 5","5.2 นำเสนอผู้บริหารเพื่อขอความเห็นชอบ","ฝบส.",,,"ยังไม่เริ่ม",
"5-03","ขั้นที่ 5","5.2.1 นโยบายการกำกับการปฏิบัติตามกฎ ระเบียบ (Compliance Policy)",,,,"ยังไม่เริ่ม",
"5-04","ขั้นที่ 5","5.2.2 แนวทางการปฏิบัติตามนโยบายการกำกับการปฏิบัติตามกฎ ระเบียบ (Compliance Guidance)",,,,"ยังไม่เริ่ม",
"5-05","ขั้นที่ 5","5.2.3 แผนการกำกับดูแลการปฏิบัติตามกฎ ระเบียบ (Compliance Action Plan)",,,,"ยังไม่เริ่ม",
"5-06","ขั้นที่ 5","5.2 จัดทำและรายงานการปฏิบัติตามกฎระเบียบ ประจำปี","ฝบส.",,,"ยังไม่เริ่ม",
